City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Terme,TR,64.96,clear sky,41.2092,36.9739,OTEL GÜVEN TERME
4,Chanderi,IN,79.18,broken clouds,24.7167,78.1333,SHRIKUNJ - Hotel and Restaurant
6,Albany,US,64.17,overcast clouds,42.6001,-73.9662,
8,Rikitea,PF,74.17,clear sky,-23.1203,-134.9692,People ThankYou
9,Vaini,TO,68.16,thunderstorm,-21.2,-175.2,Keleti Beach Resort
10,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Aden,YE,86.76,few clouds,12.7794,45.0367,Sama Emirate Hotel
14,Basoko,CD,88.16,overcast clouds,1.2391,23.616,Jackyna Hotel
15,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Kavieng,PG,81.03,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
17,Najran,SA,84.85,few clouds,17.4924,44.1277,محمد هادي ال فطيح
18,Sao Jose Da Coroa Grande,BR,82.0,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
21,Lagoa,PT,69.6,few clouds,39.05,-27.9833,Casa Das Faias
22,Ericeira,PT,79.47,overcast clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
23,Sibolga,ID,79.18,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
24,Butaritari,KI,80.98,broken clouds,3.0707,172.7902,Isles Sunset Lodge
25,Port Elizabeth,ZA,68.09,few clouds,-33.918,25.5701,39 On Nile Guest House
26,Vaitape,PF,77.54,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
28,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
29,Belmonte,BR,75.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
31,Atuona,PF,77.63,few clouds,-9.8,-139.0333,Villa Enata
35,Cabo San Lucas,MX,87.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Mersing,MY,80.51,broken clouds,2.4312,103.8405,Timotel Hotel
38,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
39,Lebanon,US,78.8,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
42,Lock Haven,US,66.9,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
43,Tsaratanana,MG,78.6,broken clouds,-16.7833,47.65,
44,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
48,Saldanha,ZA,63.09,clear sky,-33.0117,17.9442,Blue Bay Lodge
49,Hermanus,ZA,69.91,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
50,Sabang,ID,82.94,overcast clouds,5.8933,95.3214,Hotel Citra
53,Alice Springs,AU,81.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
54,Fare,PF,77.32,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
55,Alofi,NU,69.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
57,Cape Town,ZA,72.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
60,Jamestown,US,64.09,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
