City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hobart,AU,-42.8794,147.3294,48.06,70,40,1.99,scattered clouds,2021-10-09 15:25:10
1,Bluff,NZ,-46.6,168.3333,42.8,92,68,8.84,broken clouds,2021-10-09 15:24:04
2,Terme,TR,41.2092,36.9739,64.96,88,2,6.15,clear sky,2021-10-09 15:27:18
3,Thompson,CA,55.7435,-97.8558,32.16,100,90,2.3,fog,2021-10-09 15:25:44
4,Chanderi,IN,24.7167,78.1333,79.18,57,68,7.47,broken clouds,2021-10-09 15:27:19
5,Timra,SE,62.487,17.3257,56.91,90,85,4.61,overcast clouds,2021-10-09 15:27:19
6,Albany,US,42.6001,-73.9662,64.17,76,100,1.99,overcast clouds,2021-10-09 15:22:19
7,Busselton,AU,-33.65,115.3333,47.08,79,1,10.2,clear sky,2021-10-09 15:23:50
8,Rikitea,PF,-23.1203,-134.9692,74.17,80,7,17.16,clear sky,2021-10-09 15:23:51
9,Vaini,TO,-21.2,-175.2,68.16,100,75,6.91,thunderstorm,2021-10-09 15:23:46
10,Mahebourg,MU,-20.4081,57.7,73.69,73,40,14.97,light rain,2021-10-09 15:23:55
11,Clyde River,CA,70.4692,-68.5914,32.77,76,39,12.21,scattered clouds,2021-10-09 15:25:06
12,Camopi,GF,3.1655,-52.3158,90.36,47,100,3.98,overcast clouds,2021-10-09 15:27:21
13,Aden,YE,12.7794,45.0367,86.76,74,22,10.78,few clouds,2021-10-09 15:26:25
14,Basoko,CD,1.2391,23.616,88.16,55,93,0.96,overcast clouds,2021-10-09 15:27:21
15,Puerto Ayora,EC,-0.7393,-90.3518,73.36,81,99,10.98,overcast clouds,2021-10-09 15:24:12
16,Kavieng,PG,-2.5744,150.7967,81.03,80,100,8.66,overcast clouds,2021-10-09 15:23:43
17,Najran,SA,17.4924,44.1277,84.85,23,11,14.88,few clouds,2021-10-09 15:23:58
18,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.0,62,96,10.98,overcast clouds,2021-10-09 15:24:25
19,Abu Dhabi,AE,24.4667,54.3667,91.51,75,0,8.05,clear sky,2021-10-09 15:25:12
20,Qaanaaq,GL,77.484,-69.3632,23.94,94,100,10.98,light snow,2021-10-09 15:24:33
21,Lagoa,PT,39.05,-27.9833,69.6,72,17,16.78,few clouds,2021-10-09 15:24:03
22,Ericeira,PT,38.9627,-9.4156,79.47,78,90,12.33,overcast clouds,2021-10-09 15:27:22
23,Sibolga,ID,1.7427,98.7792,79.18,85,78,2.3,broken clouds,2021-10-09 15:25:43
24,Butaritari,KI,3.0707,172.7902,80.98,71,72,15.03,broken clouds,2021-10-09 15:24:21
25,Port Elizabeth,ZA,-33.918,25.5701,68.09,59,20,26.46,few clouds,2021-10-09 15:21:32
26,Vaitape,PF,-16.5167,-151.75,77.54,71,13,6.06,few clouds,2021-10-09 15:27:23
27,Kaitangata,NZ,-46.2817,169.8464,41.77,95,43,4.41,scattered clouds,2021-10-09 15:25:08
28,Bintulu,MY,3.1667,113.0333,79.21,100,20,0.0,few clouds,2021-10-09 15:27:24
