City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2021-10-07 01:29:01,-33.0153,27.9116,63.05,87,18,12.19
1,Sitka,US,2021-10-07 01:29:03,57.0531,-135.33,48.09,66,75,0.0
2,At-Bashi,KG,2021-10-07 01:29:03,41.1702,75.8106,40.75,91,100,2.64
3,Dunedin,NZ,2021-10-07 01:29:03,-45.8742,170.5036,58.8,81,3,11.01
4,Arraial Do Cabo,BR,2021-10-07 01:29:04,-22.9661,-42.0278,70.61,86,96,22.48
5,Constitucion,CL,2021-10-07 01:25:56,-35.3333,-72.4167,52.95,70,0,7.18
6,Panlaitan,PH,2021-10-07 01:29:05,12.1191,119.8486,83.14,78,100,12.12
7,Mataura,NZ,2021-10-07 01:29:06,-46.1927,168.8643,66.56,43,100,3.02
8,Kandrian,PG,2021-10-07 01:29:06,-6.2167,149.55,83.39,73,28,4.45
9,Cabo San Lucas,MX,2021-10-07 01:29:06,22.8909,-109.9124,88.11,54,1,3.44
10,San Patricio,US,2021-10-07 01:29:07,28.017,-97.5169,80.49,52,0,9.04
11,Godalming,GB,2021-10-07 01:29:07,51.1846,-0.6173,56.23,86,97,6.91
12,Angoram,PG,2021-10-07 01:29:08,-4.0625,144.0661,77.79,86,99,2.77
13,Khandyga,RU,2021-10-07 01:29:08,62.6667,135.6,33.39,85,100,6.85
14,Chokurdakh,RU,2021-10-07 01:29:09,70.6333,147.9167,19.33,92,99,8.32
15,Airai,TL,2021-10-07 01:29:09,-8.9266,125.4092,77.85,31,7,3.8
16,Georgetown,MY,2021-10-07 01:29:10,5.4112,100.3354,84.13,88,40,4.61
17,Poum,NC,2021-10-07 01:29:10,-20.2333,164.0167,74.3,75,0,14.38
18,Kaitangata,NZ,2021-10-07 01:29:11,-46.2817,169.8464,65.32,50,81,4.43
19,Naushki,RU,2021-10-07 01:29:11,50.3828,106.1056,41.68,70,100,4.97
20,Kirovskiy,RU,2021-10-07 01:29:12,45.0917,133.5136,52.74,56,100,4.76
21,Victoria,HK,2021-10-07 01:26:09,22.2855,114.1577,89.22,67,8,5.01
22,Komsomolskiy,UZ,2021-10-07 01:29:13,40.4272,71.7189,51.15,76,40,4.61
23,Atuona,PF,2021-10-07 01:29:13,-9.8,-139.0333,78.51,75,4,19.53
24,Hermanus,ZA,2021-10-07 01:29:14,-34.4187,19.2345,59.81,88,0,14.79
25,Busselton,AU,2021-10-07 01:24:27,-33.65,115.3333,60.04,78,100,10.96
26,Ushuaia,AR,2021-10-07 01:29:14,-54.8,-68.3,35.26,87,75,28.77
27,Rikitea,PF,2021-10-07 01:29:14,-23.1203,-134.9692,74.19,76,99,15.73
28,Mount Isa,AU,2021-10-07 01:29:15,-20.7333,139.5,98.37,16,100,10.36
29,Westport,US,2021-10-07 01:29:15,41.1415,-73.3579,67.98,87,90,1.99
30,Cognac,FR,2021-10-07 01:29:15,45.5,-0.25,50.04,93,0,1.14
31,Pevek,RU,2021-10-07 01:29:16,69.7008,170.3133,26.49,77,100,11.3
32,Yayva,RU,2021-10-07 01:29:16,59.3303,57.2641,34.18,95,23,3.0
33,Bluff,NZ,2021-10-07 01:29:17,-46.6,168.3333,57.76,68,98,2.19
34,Tuktoyaktuk,CA,2021-10-07 01:29:17,69.4541,-133.0374,35.6,75,40,11.5
35,Boca Do Acre,BR,2021-10-07 01:29:17,-8.7522,-67.3978,75.9,85,43,1.59
36,Jamestown,US,2021-10-07 01:27:08,42.097,-79.2353,67.84,86,1,5.75
37,Yulara,AU,2021-10-07 01:29:18,-25.2406,130.9889,69.64,40,0,13.8
38,Waipawa,NZ,2021-10-07 01:29:18,-41.4122,175.5153,60.03,95,100,7.67
39,Port Hardy,CA,2021-10-07 01:29:18,50.6996,-127.4199,50.18,71,40,6.91
40,Kapaa,US,2021-10-07 01:29:19,22.0752,-159.319,84.18,73,1,4.0
41,Svetlyy,RU,2021-10-07 01:29:19,54.675,20.1347,50.05,61,100,10.83
42,Dali,CN,2021-10-07 01:29:20,25.7,100.1833,62.71,90,36,2.62
43,Bredasdorp,ZA,2021-10-07 01:26:32,-34.5322,20.0403,60.12,88,68,17.27
44,Asfi,MA,2021-10-07 01:29:20,32.2994,-9.2372,69.03,75,100,5.01
45,Tiksi,RU,2021-10-07 01:29:21,71.6872,128.8694,27.82,89,100,10.63
46,Isangel,VU,2021-10-07 01:29:21,-19.55,169.2667,80.71,69,20,17.27
47,Hobart,AU,2021-10-07 01:27:07,-42.8794,147.3294,57.06,47,75,4.0
48,Mayo,US,2021-10-07 01:29:23,38.8876,-76.5119,70.9,86,88,5.01
49,Kribi,CM,2021-10-07 01:29:23,2.95,9.9167,76.08,93,100,6.29
50,Ostrovnoy,RU,2021-10-07 01:29:24,68.0531,39.5131,46.36,86,100,24.52
51,Aswan,EG,2021-10-07 01:29:24,24.0934,32.907,72.7,37,0,10.36
52,Cape Town,ZA,2021-10-07 01:26:10,-33.9258,18.4232,63.1,54,0,3.0
53,Eureka,US,2021-10-07 01:27:18,40.8021,-124.1637,59.67,76,98,8.99
54,Torbay,CA,2021-10-07 01:29:26,47.6666,-52.7314,53.76,91,1,13.8
55,Mersing,MY,2021-10-07 01:29:26,2.4312,103.8405,80.51,78,40,3.44
56,Hithadhoo,MV,2021-10-07 01:29:26,-0.6,73.0833,83.3,75,59,10.71
57,Juye,CN,2021-10-07 01:29:27,35.3947,116.0883,53.53,94,100,12.24
58,Wanning,CN,2021-10-07 01:29:27,18.8003,110.3967,80.55,90,100,22.55
59,Tasiilaq,GL,2021-10-07 01:29:28,65.6145,-37.6368,32.16,60,3,5.23
60,Avera,US,2021-10-07 01:29:28,33.194,-82.5271,72.72,92,100,6.24
61,Port Alfred,ZA,2021-10-07 01:29:28,-33.5906,26.891,63.99,86,7,19.51
62,Ugoofaaru,MV,2021-10-07 01:29:29,5.6667,73.0,82.85,79,9,14.45
63,Tabou,CI,2021-10-07 01:29:29,4.423,-7.3528,77.34,89,86,6.08
64,Groa,NO,2021-10-07 01:29:29,62.65,8.7167,48.29,96,92,5.17
65,Bonavista,CA,2021-10-07 01:29:30,48.6499,-53.1147,57.11,80,57,10.87
66,Gizo,SB,2021-10-07 01:25:10,-8.103,156.8419,83.73,70,36,3.53
67,Kawalu,ID,2021-10-07 01:29:31,-7.3817,108.2082,73.98,83,97,2.46
68,Mujiayingzi,CN,2021-10-07 01:29:31,42.1167,118.7833,47.57,64,6,3.2
69,Vysokogornyy,RU,2021-10-07 01:29:31,50.1167,139.15,39.81,44,14,8.5
70,Kainan,JP,2021-10-07 01:29:33,34.15,135.2,81.68,62,0,1.95
71,Severo-Kurilsk,RU,2021-10-07 01:29:33,50.6789,156.125,46.78,68,41,14.63
72,Poronaysk,RU,2021-10-07 01:29:33,49.2167,143.1167,48.47,59,10,5.19
73,Carnarvon,AU,2021-10-07 01:29:34,-24.8667,113.6333,68.07,52,0,12.66
74,Barrow,US,2021-10-07 01:29:34,71.2906,-156.7887,32.02,93,90,6.91
75,Geraldton,AU,2021-10-07 01:29:36,-28.7667,114.6,61.21,48,0,5.75
76,Qaqortoq,GL,2021-10-07 01:29:36,60.7167,-46.0333,45.1,54,83,9.93
77,Karratha,AU,2021-10-07 01:29:36,-20.7377,116.8463,84.0,29,3,15.77
78,Gazanjyk,TM,2021-10-07 01:29:37,39.2446,55.5154,53.37,17,100,19.42
79,Narsaq,GL,2021-10-07 01:29:37,60.9167,-46.05,44.82,52,94,9.01
80,Norsup,VU,2021-10-07 01:29:38,-16.0667,167.3833,82.44,74,78,6.15
81,Kysyl-Syr,RU,2021-10-07 01:29:38,63.8986,122.7617,30.36,81,100,10.96
82,Bambous Virieux,MU,2021-10-07 01:29:39,-20.3428,57.7575,69.22,94,40,3.44
83,Punta Arenas,CL,2021-10-07 01:29:39,-53.15,-70.9167,42.91,70,20,24.16
84,Sistranda,NO,2021-10-07 01:28:52,63.7256,8.834,50.9,82,21,38.59
85,San Joaquin,US,2021-10-07 01:29:39,37.9333,-121.3011,74.28,27,1,11.5
86,Yellowknife,CA,2021-10-07 01:29:40,62.456,-114.3525,37.42,100,90,3.0
87,Sibolga,ID,2021-10-07 01:29:40,1.7427,98.7792,80.11,76,99,0.47
88,Cabra,ES,2021-10-07 01:29:42,37.4725,-4.4421,68.4,43,100,3.02
89,Tomatlan,MX,2021-10-07 01:29:42,19.9333,-105.25,79.07,89,53,1.59
90,Port Keats,AU,2021-10-07 01:29:43,-14.25,129.55,88.36,58,100,6.53
91,Tuatapere,NZ,2021-10-07 01:29:44,-46.1333,167.6833,63.0,53,100,7.07
92,Hobyo,SO,2021-10-07 01:29:44,5.3505,48.5268,78.04,84,40,21.54
93,Zaranj,AF,2021-10-07 01:29:45,30.9667,61.8833,65.48,25,0,10.13
94,Kenai,US,2021-10-07 01:29:45,60.5544,-151.2583,46.02,95,90,6.91
95,Qaanaaq,GL,2021-10-07 01:29:46,77.484,-69.3632,19.58,63,5,8.08
96,Meulaboh,ID,2021-10-07 01:29:46,4.1363,96.1285,78.08,84,92,4.63
97,Berdigestyakh,RU,2021-10-07 01:29:47,62.0989,126.6992,31.46,69,49,8.66
98,Betare Oya,CM,2021-10-07 01:29:47,5.6,14.0833,66.31,94,97,3.53
99,Ahipara,NZ,2021-10-07 01:29:48,-35.1667,173.1667,60.26,90,100,1.57
100,Korla,CN,2021-10-07 01:29:48,41.7597,86.1469,55.78,37,95,7.85
101,Safakulevo,RU,2021-10-07 01:29:49,54.9901,62.5442,34.72,89,13,7.29
102,Vesoul,FR,2021-10-07 01:29:49,47.5833,5.8333,51.49,85,100,2.75
103,Pangkalanbuun,ID,2021-10-07 01:29:51,-2.6833,111.6167,82.67,73,100,3.67
104,Gigmoto,PH,2021-10-07 01:29:52,13.7796,124.39,83.1,76,100,4.68
105,Avarua,CK,2021-10-07 01:29:53,-21.2078,-159.775,78.85,65,20,14.97
106,Bambari,CF,2021-10-07 01:29:53,5.768,20.6757,71.49,95,100,0.83
107,Lorengau,PG,2021-10-07 01:29:53,-2.0226,147.2712,83.28,73,13,4.41
108,Zhigansk,RU,2021-10-07 01:29:54,66.7697,123.3711,28.45,90,100,22.37
109,New Norfolk,AU,2021-10-07 01:29:54,-42.7826,147.0587,56.71,44,10,4.0
110,Ponta Do Sol,PT,2021-10-07 01:29:54,32.6667,-17.1,72.23,79,100,2.59
